Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency
FDX,FEDEX CORP,Industrials,Equity,"34,926,216.00",0.12,"34,926,216.00","147,368.00",237,United States,New York Stock Exchange Inc.,USD
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"31,284,145.99",0.11,"31,284,145.99","376,147.00",83.17,United States,New York Stock Exchange Inc.,USD
MET,METLIFE INC,Financials,Equity,"31,094,276.18",0.11,"31,094,276.18","379,291.00",81.98,United States,New York Stock Exchange Inc.,USD
TGT,TARGET CORP,Consumer Staples,Equity,"27,556,758.90",0.1,"27,556,758.90","309,279.00",89.1,United States,New York Stock Exchange Inc.,USD
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"23,004,525.42",0.08,"23,004,525.42","23,004,525.00",1,United States,-,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"11,832,953.47",0.04,"11,832,953.47","11,832,953.00",100,United States,-,USD
MSFUT,CASH COLLATERAL MSFUT USD,Cash and/or Derivatives,Cash Collateral and Margins,"2,045,640.00",0.01,"2,045,640.00","2,045,640.00",100,United States,-,USD
ESZ5,S&P500 EMINI DEC 25,Cash and/or Derivatives,Futures,0,0,"29,828,700.00",88,"6,779.25",-,Index And Options Market,USD
 ,,,,,,,,,,,
,,,,,,,,,,,
